日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
16,2032-09-16,木曜日,Thursday,Thu,False,False,,赤口,False,辛酉,辛,酉,金,金,陰,鶏,帝旺,False,,,,調査中,宝物発見の予感,若草色,ほうじ茶,62,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,蠍座,星 - 希望,変化は成長の扉,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
17,2032-09-17,金曜日,Friday,Fri,False,False,,先勝,True,壬戌,壬,戌,水,土,陽,犬,衰,False,,,,調査中,内なる光が輝く,黄金色,ジャスミンティー,63,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,射手座,月 - 幻想,感謝の心が幸福を呼ぶ,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
18,2032-09-18,土曜日,Saturday,Sat,True,False,,友引,False,癸亥,癸,亥,水,水,陰,猪,病,False,,,,調査中,調和のメロディ,鋼青色,ルイボスティー,64,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,山羊座,太陽 - 成功,愛は最も強いエネルギー,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
19,2032-09-19,日曜日,Sunday,Sun,True,False,,先負,False,甲子,甲,子,木,水,陽,鼠,絶,False,,,,調査中,自然の叡智授受,深紅色,ローズヒップティー,65,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,水瓶座,審判 - 再生,困難は成長のギフト,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
20,2032-09-20,月曜日,Monday,Mon,False,True,敬老の日,仏滅,False,乙丑,乙,丑,木,土,陰,牛,胎,False,,,,調査中,知恵の泉湧出,金色,白茶,66,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,魚座,世界 - 完成,今この瞬間が全て,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
21,2032-09-21,火曜日,Tuesday,Tue,False,False,,大安,False,丙寅,丙,寅,火,木,陽,虎,養,True,寅卯,親・目上,,調査中,至福の時間軸,朱色,烏龍茶,67,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,牡羊座,愚者 - 新しい始まり,笑顔は心の太陽,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
22,2032-09-22,水曜日,Wednesday,Wed,False,True,秋分の日,赤口,False,丁卯,丁,卯,火,木,陰,兎,長生,True,寅卯,親・目上,,調査中,運気上昇の兆し,空色,玄米茶,68,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,牡牛座,魔術師 - 創造力,優しさは伝染する,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
23,2032-09-23,木曜日,Thursday,Thu,False,False,,先勝,False,戊辰,戊,辰,土,土,陽,龍,沐浴,False,,,,調査中,心の扉が開放,若草色,抹茶,69,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,双子座,女教皇 - 直感,夢は現実の種,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
24,2032-09-24,金曜日,Friday,Fri,False,False,,友引,True,己巳,己,巳,土,火,陰,蛇,冠帯,False,,,,調査中,宇宙との同調,黄金色,柚子茶,70,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,蟹座,女帝 - 豊穣,勇気は恐れを超越する,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
25,2032-09-25,土曜日,Saturday,Sat,True,False,,先負,False,庚午,庚,午,金,火,陽,馬,建禄,False,,,,調査中,愛のバイブレーション,鋼青色,生姜茶,71,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,獅子座,皇帝 - 安定,知恵は経験から生まれる,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
26,2032-09-26,日曜日,Sunday,Sun,True,False,,仏滅,False,辛未,辛,未,金,土,陰,羊,帝旺,False,,,,調査中,豊かさの波動,深紅色,黒豆茶,72,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,乙女座,教皇 - 叡智,調和は美の根源,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
27,2032-09-27,月曜日,Monday,Mon,False,False,,大安,False,壬申,壬,申,水,金,陽,猿,衰,False,,,,調査中,運命の扉が開く日,金色,アールグレイ,73,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,天秤座,恋人 - 選択,希望は明日への光,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
28,2032-09-28,火曜日,Tuesday,Tue,False,False,,赤口,False,癸酉,癸,酉,水,金,陰,鶏,病,False,,,,調査中,宇宙からのメッセージ,朱色,カモミールティー,74,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,戦車 - 意志力,慈悲は魂の栄養,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
29,2032-09-29,水曜日,Wednesday,Wed,False,False,,先勝,True,甲戌,甲,戌,木,土,陽,犬,絶,True,戌亥,家庭・不動産,,調査中,奇跡を呼ぶ波動,空色,ペパーミントティー,75,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,力 - 内なる強さ,一歩一歩が大切な旅路,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
30,2032-09-30,木曜日,Thursday,Thu,False,False,,友引,False,乙亥,乙,亥,木,水,陰,猪,胎,True,戌亥,家庭・不動産,,調査中,龍神様のご加護,若草色,緑茶,76,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,隠者 - 内省,今日という日は二度と来ない,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
