日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
18,2031-11-18,火曜日,Tuesday,Tue,False,False,,仏滅,True,戊午,戊,午,土,火,陽,馬,建禄,False,,,,調査中,調和のメロディ,朱色,ルイボスティー,25,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,山羊座,死神 - 変容,今日という日は二度と来ない,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
19,2031-11-19,水曜日,Wednesday,Wed,False,False,,大安,False,己未,己,未,土,土,陰,羊,帝旺,False,,,,調査中,自然の叡智授受,空色,ローズヒップティー,26,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,水瓶座,節制 - 調和,心の平安が真の豊かさ,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
20,2031-11-20,木曜日,Thursday,Thu,False,False,,赤口,False,庚申,庚,申,金,金,陽,猿,衰,False,,,,調査中,知恵の泉湧出,若草色,白茶,27,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,魚座,悪魔 - 誘惑,変化は成長の扉,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
21,2031-11-21,金曜日,Friday,Fri,False,False,,先勝,False,辛酉,辛,酉,金,金,陰,鶏,病,False,,,,調査中,至福の時間軸,黄金色,烏龍茶,28,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,牡羊座,塔 - 変革,感謝の心が幸福を呼ぶ,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
22,2031-11-22,土曜日,Saturday,Sat,True,False,,友引,False,壬戌,壬,戌,水,土,陽,犬,死,False,,,,調査中,運気上昇の兆し,鋼青色,玄米茶,29,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,牡牛座,星 - 希望,愛は最も強いエネルギー,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
23,2031-11-23,日曜日,Sunday,Sun,True,True,勤労感謝の日,先負,False,癸亥,癸,亥,水,水,陰,猪,墓,False,,,,調査中,心の扉が開放,深紅色,抹茶,30,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,双子座,月 - 幻想,困難は成長のギフト,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
24,2031-11-24,月曜日,Monday,Mon,False,False,,仏滅,False,甲子,甲,子,木,水,陽,鼠,養,False,,,,調査中,宇宙との同調,金色,柚子茶,31,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,蟹座,太陽 - 成功,今この瞬間が全て,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
25,2031-11-25,火曜日,Tuesday,Tue,False,False,,大安,True,乙丑,乙,丑,木,土,陰,牛,長生,False,,,,調査中,愛のバイブレーション,朱色,生姜茶,32,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,獅子座,審判 - 再生,笑顔は心の太陽,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
26,2031-11-26,水曜日,Wednesday,Wed,False,False,,赤口,False,丙寅,丙,寅,火,木,陽,虎,沐浴,True,寅卯,親・目上,,調査中,豊かさの波動,空色,黒豆茶,33,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,乙女座,世界 - 完成,優しさは伝染する,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
27,2031-11-27,木曜日,Thursday,Thu,False,False,,先勝,False,丁卯,丁,卯,火,木,陰,兎,冠帯,True,寅卯,親・目上,,調査中,運命の扉が開く日,若草色,アールグレイ,34,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,天秤座,愚者 - 新しい始まり,夢は現実の種,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
28,2031-11-28,金曜日,Friday,Fri,False,False,,友引,False,戊辰,戊,辰,土,土,陽,龍,建禄,False,,,,調査中,宇宙からのメッセージ,黄金色,カモミールティー,35,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,魔術師 - 創造力,勇気は恐れを超越する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
29,2031-11-29,土曜日,Saturday,Sat,True,False,,先負,False,己巳,己,巳,土,火,陰,蛇,帝旺,False,,,,調査中,奇跡を呼ぶ波動,鋼青色,ペパーミントティー,36,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,女教皇 - 直感,知恵は経験から生まれる,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
30,2031-11-30,日曜日,Sunday,Sun,True,False,,仏滅,True,庚午,庚,午,金,火,陽,馬,衰,False,,,,調査中,龍神様のご加護,深紅色,緑茶,37,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,女帝 - 豊穣,調和は美の根源,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
