日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
12,,2034-12-12,火曜日,Tuesday,Tue,False,False,,大安,True,戊戌,戊,戌,土,土,陽,犬,帝旺,False,,,,調査中,心のデトックス,朱色,アールグレイ,49,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,山羊座,悪魔 - 誘惑,優しさは伝染する,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
13,,2034-12-13,水曜日,Wednesday,Wed,False,False,,赤口,False,己亥,己,亥,土,水,陰,猪,衰,False,,,,調査中,創造力爆発,空色,カモミールティー,50,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,水瓶座,塔 - 変革,夢は現実の種,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
14,,2034-12-14,木曜日,Thursday,Thu,False,False,,先勝,False,庚子,庚,子,金,水,陽,鼠,病,False,,,,調査中,人との縁を結ぶ,若草色,ペパーミントティー,51,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,魚座,星 - 希望,勇気は恐れを超越する,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
15,,2034-12-15,金曜日,Friday,Fri,False,False,,友引,True,辛丑,辛,丑,金,土,陰,牛,死,False,,,,調査中,未来への種まき,黄金色,緑茶,52,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,牡羊座,月 - 幻想,知恵は経験から生まれる,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
16,,2034-12-16,土曜日,Saturday,Sat,True,False,,先負,False,壬寅,壬,寅,水,木,陽,虎,墓,False,,,,調査中,宝物発見の予感,鋼青色,ほうじ茶,53,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,牡牛座,太陽 - 成功,調和は美の根源,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
17,,2034-12-17,日曜日,Sunday,Sun,True,False,,仏滅,False,癸卯,癸,卯,水,木,陰,兎,絶,False,,,,調査中,内なる光が輝く,深紅色,ジャスミンティー,54,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,双子座,審判 - 再生,希望は明日への光,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
18,,2034-12-18,月曜日,Monday,Mon,False,False,,大安,False,甲辰,甲,辰,木,土,陽,龍,長生,False,,,,調査中,調和のメロディ,金色,ルイボスティー,55,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,蟹座,世界 - 完成,慈悲は魂の栄養,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
19,,2034-12-19,火曜日,Tuesday,Tue,False,False,,赤口,True,乙巳,乙,巳,木,火,陰,蛇,沐浴,False,,,,調査中,自然の叡智授受,朱色,ローズヒップティー,56,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,獅子座,愚者 - 新しい始まり,一歩一歩が大切な旅路,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
20,,2034-12-20,水曜日,Wednesday,Wed,False,False,,先勝,False,丙午,丙,午,火,火,陽,馬,冠帯,False,,,,調査中,知恵の泉湧出,空色,白茶,57,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,乙女座,魔術師 - 創造力,今日という日は二度と来ない,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
21,,2034-12-21,木曜日,Thursday,Thu,False,False,,友引,False,丁未,丁,未,火,土,陰,羊,建禄,False,,,,調査中,至福の時間軸,若草色,烏龍茶,58,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,天秤座,女教皇 - 直感,心の平安が真の豊かさ,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
22,,2034-12-22,金曜日,Friday,Fri,False,False,,先負,False,戊申,戊,申,土,金,陽,猿,帝旺,False,,,,調査中,運気上昇の兆し,黄金色,玄米茶,59,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,蠍座,女帝 - 豊穣,変化は成長の扉,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
23,,2034-12-23,土曜日,Saturday,Sat,True,False,,仏滅,False,己酉,己,酉,土,金,陰,鶏,衰,False,,,,調査中,心の扉が開放,鋼青色,抹茶,60,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,射手座,皇帝 - 安定,感謝の心が幸福を呼ぶ,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
24,,2034-12-24,日曜日,Sunday,Sun,True,False,,大安,False,庚戌,庚,戌,金,土,陽,犬,病,False,,,,調査中,宇宙との同調,深紅色,柚子茶,61,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,山羊座,教皇 - 叡智,愛は最も強いエネルギー,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
25,,2034-12-25,月曜日,Monday,Mon,False,False,,赤口,False,辛亥,辛,亥,金,水,陰,猪,死,False,,,,調査中,愛のバイブレーション,金色,生姜茶,62,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,水瓶座,恋人 - 選択,困難は成長のギフト,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
26,,2034-12-26,火曜日,Tuesday,Tue,False,False,,先勝,False,壬子,壬,子,水,水,陽,鼠,墓,False,,,,調査中,豊かさの波動,朱色,黒豆茶,63,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,魚座,戦車 - 意志力,今この瞬間が全て,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
27,,2034-12-27,水曜日,Wednesday,Wed,False,False,,友引,True,癸丑,癸,丑,水,土,陰,牛,絶,False,,,,調査中,運命の扉が開く日,空色,アールグレイ,64,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,力 - 内なる強さ,笑顔は心の太陽,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
28,,2034-12-28,木曜日,Thursday,Thu,False,False,,先負,False,甲寅,甲,寅,木,木,陽,虎,長生,False,,,,調査中,宇宙からのメッセージ,若草色,カモミールティー,65,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,隠者 - 内省,優しさは伝染する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
29,,2034-12-29,金曜日,Friday,Fri,False,False,,仏滅,False,乙卯,乙,卯,木,木,陰,兎,沐浴,False,,,,調査中,奇跡を呼ぶ波動,黄金色,ペパーミントティー,66,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,運命の輪 - 転機,夢は現実の種,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
30,,2034-12-30,土曜日,Saturday,Sat,True,False,,大安,True,丙辰,丙,辰,火,土,陽,龍,冠帯,True,辰巳,財運・社会,,調査中,龍神様のご加護,鋼青色,緑茶,67,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,正義 - バランス,勇気は恐れを超越する,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
31,,2034-12-31,日曜日,Sunday,Sun,True,False,,赤口,False,丁巳,丁,巳,火,火,陰,蛇,建禄,True,辰巳,財運・社会,,調査中,金運上昇のサイン,深紅色,ほうじ茶,68,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,吊られた男 - 犠牲,知恵は経験から生まれる,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
